schema_version	artifact_id	version	namespace	install_mode	profiles	exact_dependencies	owner_root
1	core	3.0.0	native-prefix	cmake-install	runtime,development,plugin-sdk,plugins	-	open_lmm
1	cli	3.0.0	native-prefix	cmake-install	tools	core=3.0.0	applications/cli
1	gui	3.0.0	native-prefix	cmake-install	gui-runtime,gui-development,gui-plugins,gui-application	core=3.0.0	applications/gui
1	python	3.0.0	python-venv	wheel	python-sdk	core-runtime-closure=3.0.0	bindings/python
1	experiment	3.0.0	python-venv	wheel	experiment-cli	python=3.0.0	applications/python/experiment
1	viser	3.0.0	python-venv	wheel	viser-application	python=3.0.0	applications/python/viser
1	ros	3.0.0	ros-overlay	ament-install	runtime-adapter,interfaces,rviz-visualization,rviz-control-panel	core=3.0.0	ros
